id;type;title;start;end
558077;EXAM;Prova Final;2024-12-11 14:10:00;2024-12-11 15:40:00
2487053;ASSIGNMENT;Introdução Paradigma POO;2024-11-12 04:00:00;2024-11-18 04:00:00
2549960;ASSIGNMENT;Lab 0 - Aquecimento;2025-10-07 04:00:00;2025-10-07 04:00:00
3675915;ASSIGNMENT;OBI II;2025-08-13 03:00:00;2025-08-31 03:00:00
11216382;ASSIGNMENT;Lista 3;2025-02-21 15:00:00;2025-03-14 16:00:00
13603969;ASSIGNMENT;Lista Parsons 4 - Vetores e strings - Java;2026-03-02 04:00:00;2026-03-03 04:00:00
18047017;ASSIGNMENT;Lab 2 - Estrutura Condicional Simples e Composta;2025-04-08 22:00:00;2025-04-22 21:55:00
19988101;ASSIGNMENT;Lab 1 - Variáveis e Estrutura Sequencial;2024-08-29 00:00:00;2024-09-25 23:55:00
23551657;ASSIGNMENT;Lista Parsons 0 - Familiarização - C;2026-03-17 16:00:00;2026-03-17 20:00:00
30196294;ASSIGNMENT;Lab 5 - Strings  e Listas;2025-06-05 22:00:00;2025-06-26 21:55:00
30983420;ASSIGNMENT;Lab 1 - Variáveis e Estrutura Sequencial;2025-02-22 04:00:00;2025-02-23 04:00:00
33003856;ASSIGNMENT;Laboratório de Programação 2;2026-02-13 12:00:00;2026-02-14 16:00:00
44931183;ASSIGNMENT;Extras 5: Listas, Strings e Vetores;2025-11-11 12:00:00;2025-11-13 12:00:00
47055644;EXAM;Exercicio Avaliativo em Sala 03;2026-04-22 20:00:00;2026-04-22 21:55:00
49713556;ASSIGNMENT;04-Ordenação (1);2026-04-10 22:10:00;2026-08-01 00:00:00
55275831;EXAM;Avaliação 2;2025-05-08 03:00:00;2025-05-08 21:35:00
56800733;ASSIGNMENT;Lab 3 - Estrutura Condicional Encadeada;2026-04-15 04:00:00;2026-05-13 04:00:00
58181749;ASSIGNMENT;Lab 2 (condicionais, while, for, do-while, break);2024-09-09 04:00:00;2024-09-20 03:00:00
58552358;ASSIGNMENT;Lab 4 – Repetição por Condição (while);2024-10-14 23:55:00;2024-10-30 23:55:00
59378267;EXAM;TP 1: Variáveis e Estrutura Sequencial;2025-09-08 22:10:00;2025-09-08 23:10:00
60645490;ASSIGNMENT;Lab 4 – Repetição por Condição (while);2025-05-12 22:10:00;2025-06-02 21:55:00
64377119;ASSIGNMENT;Lab 1 - Variáveis e Estrutura Sequencial;2025-03-21 16:00:00;2025-04-04 22:00:00
